cls,bin
Laridae,Seabirds
Psittacidae,Parrots
Laridae,Seabirds
Anatidae,Waterfowl
Zosteropidae,Songbirds
Phasianidae,Gamebirds
Columbidae,Pigeons
Paridae,Songbirds
Hydrobatidae,Seabirds
Estrildidae,Songbirds
Ploceidae,Songbirds
Tytonidae,Owls
Fringillidae,Songbirds
Stercorariidae,Seabirds
Mimidae,Songbirds
Rallidae,Shorebirds/Waterbirds
Charadriidae,Shorebirds/Waterbirds
Phaethontidae,Seabirds
Procellariidae,Seabirds
Sturnidae,Songbirds
Alcedinidae,Kingfishers
Diomedeidae,Seabirds
Threskiornithidae,Shorebirds/Waterbirds
Alaudidae,Songbirds
Cardinalidae,Songbirds
Acrocephalidae,Songbirds
Sulidae,Seabirds
Megapodiidae,Gamebirds
Scolopacidae,Shorebirds/Waterbirds
Gruidae,Cranes
Thraupidae,Songbirds
Mohoidae,Songbirds
Strigidae,Owls
Ardeidae,Shorebirds/Waterbirds
Spheniscidae,Penguins
Corvidae,Songbirds
Turdidae,Songbirds
Leiothrichidae,Songbirds
Numididae,Gamebirds
Odontophoridae,Gamebirds
Podicipedidae,Shorebirds/Waterbirds
Motacillidae,Songbirds
Fregatidae,Seabirds
Monarchidae,Songbirds
Pandionidae,Raptors
Struthionidae,Ratites
Recurvirostridae,Shorebirds/Waterbirds
Pycnonotidae,Songbirds
Passeridae,Songbirds
Ciconiidae,Shorebirds/Waterbirds
Caprimulgidae,Nightjars
Alcidae,Seabirds
Accipitridae,Raptors
Pelecanidae,Shorebirds/Waterbirds
Apodidae,Swifts
Muscicapidae,Songbirds
Pteroclididae,Sandgrouse
Falconidae,Raptors
Gaviidae,Shorebirds/Waterbirds
Icteridae,Songbirds
Cettiidae,Songbirds
Rheidae,Ratites
Hirundinidae,Songbirds
Bucerotidae,Hornbills
Sylviidae,Songbirds
Viduidae,Songbirds